itemID,title,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Fantasy,Film_Noir,Horror,Musical,Mystery,Romance,Sci_Fi,Thriller,War,Western,No_Genre,avg_rating,rating
111,"Truth About Cats & Dogs, The (1996)",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.4853,2
113,"Horseman on the Roof, The (Hussard sur le toit, Le) (1995)",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,4.1111,3
116,"Cold Comfort Farm (1995)",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8240,2
117,"Rock, The (1996)",1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.6931,2
118,"Twister (1996)",1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3.2150,2
122,"Cable Guy, The (1996)",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.3396,2
124,"Lone Star (1996)",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,4.0535,3
125,"Phenomenon (1996)",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3.5574,2
126,"Spitfire Grill, The (1996)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.8041,2
127,"Godfather, The (1972)",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,4.2833,5
129,"Bound (1996)",0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,3.8217,3
131,"Breakfast at Tiffany's (1961)",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3.7263,2
132,"Wizard of Oz, The (1939)",0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4.0772,3
133,"Gone with the Wind (1939)",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,3.8713,4
134,"Citizen Kane (1941)",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,4.2929,4
135,"2001: A Space Odyssey (1968)",0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3.9691,4
137,"Big Night (1996)",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.9006,4
143,"Sound of Music, The (1965)",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3.7658,4
144,"Die Hard (1988)",1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3.8724,3
149,"Jude (1996)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.0000,4
150,"Swingers (1996)",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.8280,3
152,"Sleeper (1973)",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3.6341,3
153,"Fish Called Wanda, A (1988)",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7854,2
155,"Dirty Dancing (1987)",0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,3.1020,4
156,"Reservoir Dogs (1992)",0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,3.9865,2
157,"Platoon (1986)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3.6929,3
159,"Basic Instinct (1992)",0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,3.2277,3
160,"Glengarry Glen Ross (1992)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.4638,3
161,"Top Gun (1986)",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.4818,2
162,"On Golden Pond (1981)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.5566,3
164,"Abyss, The (1989)",1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3.5894,2
165,"Jean de Florette (1986)",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,4.1094,3
166,"Manon of the Spring (Manon des sources) (1986)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4.1207,3
167,"Private Benjamin (1980)",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9552,4
171,"Delicatessen (1991)",0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3.8769,2
175,"Brazil (1985)",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3.8173,3
176,"Aliens (1986)",1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,3.9472,2
178,"12 Angry Men (1957)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4.3440,4
179,"Clockwork Orange, A (1971)",0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,3.9095,4
182,"Goodfellas (1990)",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3.9513,4
183,"Alien (1979)",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,4.0344,4
185,"Psycho (1960)",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,4.1004,4
186,"Blues Brothers, The (1980)",1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3.8367,3
187,"Godfather: Part II, The (1974)",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,4.1866,5
188,"Full Metal Jacket (1987)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3.6824,3
190,"Henry V (1989)",1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,4.1371,3
191,"Amadeus (1984)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4.1630,4
192,"Raging Bull (1980)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4.1207,3
193,"Right Stuff, The (1983)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.9172,3
195,"Terminator, The (1984)",1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3.9336,3
196,"Dead Poets Society (1989)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.9163,3
197,"Graduate, The (1967)",0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,4.1046,3
200,"Shining, The (1980)",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3.8252,4
202,"Groundhog Day (1993)",0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,3.7643,2
203,"Unforgiven (1992)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3.8681,3
204,"Back to the Future (1985)",0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3.8343,3
205,"Patton (1970)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3.9926,3
207,"Cyrano de Bergerac (1990)",0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3.8182,3
208,"Young Frankenstein (1974)",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.9450,3
209,"This Is Spinal Tap (1984)",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9058,3
210,"Indiana Jones and the Last Crusade (1989)",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9305,3
212,"Unbearable Lightness of Being, The (1988)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.4565,3
213,"Room with a View, A (1986)",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3.9851,4
215,"Field of Dreams (1989)",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3.6981,2
216,"When Harry Met Sally... (1989)",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.9103,4
218,"Cape Fear (1991)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.4561,3
219,"Nightmare on Elm Street, A (1984)",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,3.1712,2
220,"Mirror Has Two Faces, The (1996)",0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3.3636,2
221,"Breaking the Waves (1996)",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,3.7297,3
222,"Star Trek: First Contact (1996)",1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3.6603,2
223,"Sling Blade (1996)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4.1985,3
224,"Ridicule (1996)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.7045,3
226,"Die Hard 2 (1990)",1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.3554,3
233,"Under Siege (1992)",1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3.2903,3
234,"Jaws (1975)",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3.7750,3
236,"Citizen Ruth (1996)",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.6222,3
237,"Jerry Maguire (1996)",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3.7109,3
238,"Raising Arizona (1987)",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8750,3
239,"Sneakers (1992)",1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,3.5133,2
240,"Beavis and Butt-Head Do America (1996)",0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7885,3
246,"Chasing Amy (1997)",0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3.9355,3
248,"Grosse Pointe Blank (1997)",0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3.6750,2
249,"Austin Powers: International Man of Mystery (1997)",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2462,3
250,"Fifth Element, The (1997)",1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3.4772,3
252,"Lost World: Jurassic Park, The (1997)",1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2.9430,2
255,"My Best Friend's Wedding (1997)",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.3605,3
258,"Contact (1997)",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3.8035,2
262,"In the Company of Men (1997)",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.7121,5
265,"Hunt for Red October, The (1990)",1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.8634,3
268,"Chasing Amy (1997)",0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3.7922,3
269,"Full Monty, The (1997)",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.9270,3
270,"Gattaca (1997)",0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,3.5956,4
271,"Starship Troopers (1997)",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3.2322,3
272,"Good Will Hunting (1997)",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,4.2626,3
273,"Heat (1995)",1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3.5695,4
274,"Sabrina (1995)",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.5000,3
275,"Sense and Sensibility (1995)",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,4.0112,4
276,"Leaving Las Vegas (1995)",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3.6980,4
279,"Once Upon a Time... When We Were Colored (1995)",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3.2857,3
280,"Up Close and Personal (1996)",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3.1882,2
281,"River Wild, The (1994)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.1438,2
282,"Time to Kill, A (1996)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3.6853,3
283,"Emma (1996)",0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3.7175,3
284,"Tin Cup (1996)",0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3.1606,2
285,"Secrets & Lies (1996)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4.2654,4
286,"English Patient, The (1996)",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,3.6570,3
287,"Marvin's Room (1996)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.5897,3
288,"Scream (1996)",0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,3.4414,3
289,"Evita (1996)",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2.9807,3
291,"Absolute Power (1997)",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3.3701,3
292,"Rosewood (1997)",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.6667,2
293,"Donnie Brasco (1997)",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3.8027,4
294,"Liar Liar (1997)",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1567,3
295,"Breakdown (1997)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.4026,3
297,"Ulee's Gold (1997)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.9600,4
298,"Face/Off (1997)",1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,3.7680,4
300,"Air Force One (1997)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.6311,3
301,"In & Out (1997)",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3043,2
302,"L.A. Confidential (1997)",0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,4.1616,4
303,"Ulee's Gold (1997)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.6866,4
304,"Fly Away Home (1996)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5369,2
305,"Ice Storm, The (1997)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.6437,4
310,"Rainmaker, The (1997)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.6000,3
311,"Wings of the Dove, The (1997)",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3.6800,3
312,"Midnight in the Garden of Good and Evil (1997)",0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,3.1625,2
313,"Titanic (1997)",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,4.2457,4
315,"Apt Pupil (1998)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,4.1000,4
316,"As Good as It Gets (1997)",0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,4.1964,4
317,"In the Name of the Father (1993)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.9118,3
318,"Schindler's List (1993)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,4.4664,4
319,"Everyone Says I Love You (1996)",0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3.2738,3
320,"Paradise Lost: The Child Murders at Robin Hood Hills (1996)",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.0500,5
321,"Mother (1996)",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1302,3
324,"Lost Highway (1997)",0,0,0,0,1,0,1,1,1,0,0,1,1,0,0,0,0,0,3.1360,3
325,"Crash (1996)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2.5469,2
326,"G.I. Jane (1997)",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.3600,2
327,"Cop Land (1997)",1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,3.3771,3
328,"Conspiracy Theory (1997)",0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,3.4237,2
332,"Kiss the Girls (1997)",0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,3.4615,3
333,"Game, The (1997)",0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,3.5936,2
337,"House of Yes, The (1997)",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.0000,2
340,"Boogie Nights (1997)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.5873,3
344,"Apostle, The (1997)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.6545,4
345,"Deconstructing Harry (1997)",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.4000,3
346,"Jackie Brown (1997)",0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,3.6429,4
347,"Wag the Dog (1997)",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5109,3
354,"Wedding Singer, The (1998)",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.4861,2
356,"Client, The (1994)",0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,3.3814,3
357,"One Flew Over the Cuckoo's Nest (1975)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4.2917,4
359,"Assignment, The (1997)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.5000,3
363,"Sudden Death (1995)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7234,3
367,"Clueless (1995)",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.4588,3
371,"Bridges of Madison County, The (1995)",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3.1642,3
372,"Jeffrey (1995)",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.5294,3
375,"Showgirls (1995)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.9565,2
378,"Miracle on 34th Street (1994)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.7228,1
381,"Muriel's Wedding (1994)",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5500,3
382,"Adventures of Priscilla, Queen of the Desert, The (1994)",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.5946,3
385,"True Lies (1994)",1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3.5625,3
387,"Age of Innocence, The (1993)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.3846,3
391,"Last Action Hero (1993)",1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.7458,2
393,"Mrs. Doubtfire (1993)",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.4115,2
396,"Serial Mom (1994)",0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2.8148,2
402,"Ghost (1990)",0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,3.4647,2
403,"Batman (1989)",1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3.4279,2
405,"Mission: Impossible (1996)",1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3.3140,2
410,"Kingpin (1996)",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1296,2
411,"Nutty Professor, The (1996)",0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,2.9141,3
417,"Parent Trap, The (1961)",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.0959,2
423,"E.T. the Extra-Terrestrial (1982)",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3.8333,3
425,"Bob Roberts (1992)",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7412,3
427,"To Kill a Mockingbird (1962)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4.2922,4
428,"Harold and Maude (1971)",0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3.8182,3
433,"Heathers (1989)",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6901,2
435,"Butch Cassidy and the Sundance Kid (1969)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.9491,2
443,"Birds, The (1963)",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,3.8086,4
447,"Carrie (1976)",0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,3.5041,4
448,"Omen, The (1976)",0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,3.3882,4
449,"Star Trek: The Motion Picture (1979)",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3.0342,3
451,"Grease (1978)",0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3.3471,3
